index,0
A Heaping Helping of Trouble,https://docs.google.com/document/d/e/2PACX-1vRbrCAqR4hUFDMR9qGJ85w53uBzZuOJzMlqwerRBt7Ag19vVv30npDR_sWVGwovHQ-QhR4aBwztZ3fa/pub
The Daughter of Storms,https://docs.google.com/document/d/e/2PACX-1vRXR4rJXpR5tcHULA188jXgToUPSGyb3eNmS_toMKGy6eDaDQ9cHq1BYA-g3NkhjJqOvrOEmfBePZ-4/pub
Into the Sternwood,https://docs.google.com/document/d/e/2PACX-1vTPV5Sp5fNDKWknjQhPC1UTImMnflqOPUq9GqVwSxmxGgj7bPLpdDBKnbHK_klQchX79UwvB4qp2dJm/pub
I'm Worth This,https://docs.google.com/document/d/e/2PACX-1vQj2N2N1x6F9qL77oBdFAMGr-IW9qqm4zQROjF6yWwNIpAi9JWtv1nLP8MxIcgw9-4TpL8i6YVDoVc2/pub
Scramble to the Ramble,https://docs.google.com/document/d/e/2PACX-1vQLxaxx_jlnBkTg8w98MaMi80U1T4oG4bAyTBD11BRaUxraorAmRZrfBYfn7CaeWOji1tLzeiNo4bBR/pub
The Horizon Beyond the Squall,https://docs.google.com/document/d/e/2PACX-1vSv-fS3iKCMBsqCeqP-TbKUHrA0CXFzQzDUYKi87UOhGISDc79sJ26k4HulUgRbRzbue9E7KN1UXeyC/pub
It Was a Dark and Stormy Night,https://docs.google.com/document/d/e/2PACX-1vTCh6NYOEeXclWOvcVVGh4fqvvvh4ItTBF7ojDttVqyg2ysec8ED5CQLXl62defmzaBsI1XIhnvHDoj/pub
A Scandal in Britannia,https://docs.google.com/document/d/e/2PACX-1vT6rd-scw-4SbEQTxZe-BcN_cYqTiddGgvOLRnDMpAw6YCLIHKzURYn2Aw2L25vaeyxW9rgdj2yfbx8/pub
A Time For Clues,https://docs.google.com/document/d/e/2PACX-1vSoO5s4l2BeR-DQ0nTqYgKI8YLcxFaQOh1M-PngqTj-kcsVk_QG1cdrbCf1fdvEE9zxmkLoBc9L6dmk/pub
The Stabber of the Evening,https://docs.google.com/document/d/e/2PACX-1vTpi6iLqVOgcOGGGqygHiwilBq33vvLdPxxyNcC4XMIHU3ren_h5tlmNT7cgHqjGvcT1LmIasEYmA-A/pub
